Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TJ;product:21;start:1338534036414;end:1354348849374&fraction_traffic=region:TJ;product:21;start:1338534036414;end:1354348849374,TJ,Tajikistan,YouTube,2012-07-27,2012-10-15,RIA Novosti,http://en.rian.ru/world/20120726/174791290.html,"Tajikistan Blocks YouTube over Protests, Users Say",The Tajik authorities blocked access on Thursday to the video-sharing service YouTube in what is believed to be a response to uploaded video…
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1342587658694;end:1342803625511&fraction_traffic=region:SY;product:19;start:1342587658694;end:1342803625511,SY,Syria,Web Search,2012-07-19,2012-07-19,ZDNet,http://www.zdnet.com/syria-disconnects-itself-from-the-internet-for-40-minutes-7000001315/,Syria disconnects itself from the Internet for 40 minutes,"On Thursday, Syria severed all Internet connections to the outside world for a total of 40 minutes."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:AU;product:19;start:1338944458874;end:1339030808618&fraction_traffic=region:AU;product:19;start:1338944458874;end:1339030808618,AU,Australia,Web Search,2012-06-06,2012-06-06,itnews,"http://www.itnews.com.au/News/303933,google-australian-services-suffer-20-minute-hit.aspx",Google Australian services hit by data centre outage,Google's Australian and New Zealand services were hobbled briefly last night due to a power outage at one of the Sydney data centres...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:KE;product:19;start:1335330024890;end:1335585637634&fraction_traffic=region:KE;product:19;start:1335330024890;end:1335585637634,KE,Kenya,Web Search,2012-04-26,2012-04-26,Renesys,http://www.renesys.com/blog/2012/04/teams-cable-down-again.shtml,TEAMS Cable Down Again,"Only 35 days after a repair ship fixed the TEAMS (The East African Marine System) submarine cable, this cable was cut again this morning..."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CN;product:19;start:1334091630493;end:1334307627349&fraction_traffic=region:CN;product:19;start:1334091630493;end:1334307627349,CN,China,Web Search,2012-04-12,2012-04-12,Guardian,http://www.guardian.co.uk/world/2012/apr/12/china-internet-users-foreign-websites,China's internet users temporarily blocked from foreign websites,China's internet users have been cut off from accessing all foreign websites for around an hour in an unexplained incident that sparked spec…
https://transparencyreport.google.com/traffic/overview?disruption_history=region:KE;product:19;start:1330023656312;end:1330376414647&fraction_traffic=region:KE;product:19;start:1330023656312;end:1330376414647,KE,Kenya,Web Search,2012-02-25,2012-02-25,AFP,http://www.google.com/hostednews/afp/article/ALeqM5gEucfhRPx_0aoSo2gdWN12GHR3Rw?docId=CNG.d1ac9c692e031f1b0564cbabc8cf4ef8.751,Repairs on Kenya web cable to take three weeks,An undersea fibre optic Internet cable that was sliced by a ship's anchor in the Kenyan port of Mombasa will be fully repaired...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IR;product:6;start:1329537637226;end:1329958842786&fraction_traffic=region:IR;product:6;start:1329537637226;end:1329958842786,IR,Iran,Gmail,2012-02-19,2012-02-20,Computer Business Review,http://security.cbronline.com/news/internet-again-blocks-internet-access-210212,Iran blocks internet access again,The Iranian government has yet again blocked all encrypted international websites outside of Iran that depend on the Secure Sockets Layer (S…
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IR;product:6;start:1328342406360;end:1329465602823&fraction_traffic=region:IR;product:6;start:1328342406360;end:1329465602823,IR,Iran,Gmail,2012-02-09,2012-02-11,Kabir News,http://kabirnews.com/iran-shut-down-gmail-google-yahoo-and-sites-using-https-protocol/202/,"Iran shuts down Gmail, Google, Yahoo, and Sites using ""HTTPS"" Protocol","Based on reports received from Iran, the government has blocked access to the major sites plus websites using certain “Https” protocols."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:PS;product:19;start:1320087650157;end:1320177644044&fraction_traffic=region:PS;product:19;start:1320087650157;end:1320177644044,PS,Palestine,Web Search,2011-11-01,2011-11-01,BBC,http://www.bbc.co.uk/news/world-middle-east-15542820,'Hackers' cut Palestinian phone and internet systems,"The main phone network in the West Bank and Gaza has suffered a sustained attack by computer hackers, the Palestinian Authority (PA) says."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:EG;product:19;start:1315458025166;end:1315810835883&fraction_traffic=region:EG;product:19;start:1315458025166;end:1315810835883,EG,Egypt,Web Search,2011-09-09,2011-09-09,,,,All Google services partially accessible.
